				Venus
Average Distance from Sun	67 million miles
Average Speed in Orbiting Sun	21.760 miles per second
Diameter			7520 miles
Tilt of Axis			3 degrees
Length of Year			225 Earth Days
Length of Day			2802 hours = 116 days 18 hours
Gravity				0.91 times Earth = 8.87 m/s/s
Temperature	       Average- 797 F
Atmosphere	                mainly Carbon Dioxide, thick clouds of sulfuric acid
Number of Moons			0
