				Jupiter
Average Distance from Sun	84 million miles
Average Speed in Orbiting Sun	8.12 miles per second
Diameter			86,881 miles
Tilt of Axis			3 degrees
Length of Year			12 Earth Years = 4300 Earth Days
Length of Day			9 hours 56 minutes
Gravity				2.528 times Earth = 24.8 m/s/s
Temperature	       Average- minus 235 degrees F
Atmosphere	                Hydrogen Gas, Helium Gas, clouds of  ammonium hydrosulfide
Number of Moons			79
